id,sentence
30,It’s one of the algorithms responsible for the incredible advances in deep learning over the last few years.
31,"In this article, we’ll go over the fundamentals of recurrent neural networks, as well as the most pressing difficulties and how to address them."
32,"Introduction on Recurrent Neural Networks
A Deep Learning approach for modelling sequential data is Recurrent Neural Networks (RNN)."
33,RNNs were the standard suggestion for working with sequential data before the advent of attention models.
34,Specific parameters for each element of the sequence may be required by a deep feedforward model.
35,It may also be unable to generalize to variable-length sequences.
36,"Recurrent Neural Networks
Source: Medium.com
Recurrent Neural Networks use the same weights for each element of the sequence, decreasing the number of parameters and allowing the model to generalize to sequences of varying lengths."
37,"RNNs generalize to structured data other than sequential data, such as geographical or graphical data, because of its design."
38,"Recurrent neural networks, like many other deep learning techniques, are relatively old."
39,"They were first developed in the 1980s, but we didn’t appreciate their full potential until lately."
40,"The advent of long short-term memory (LSTM) in the 1990s, combined with an increase in computational power and the vast amounts of data that we now have to deal with, has really pushed RNNs to the forefront."
41,What is a Recurrent Neural Network (RNN)?
42,"Neural networks imitate the function of the human brain in the fields of AI, machine learning, and deep learning, allowing computer programs to recognize patterns and solve common issues.An Introduction to Recurrent Neural Networks and the Math That Powers Them:When it comes to sequential or time series data, traditional feedforward networks cannot be used for learning and prediction."
43,A mechanism is required to retain past or historical information to forecast future values.
44,"Recurrent neural networks, or RNNs for short, are a variant of the conventional feedforward artificial neural networks that can deal with sequential data and can be trained to hold knowledge about the past."
45,"After completing this tutorial, you will know:

Recurrent neural networks
What is meant by unfolding an RNN
How weights are updated in an RNN
Various RNN architectures
Kick-start your project with my book Building Transformer Models with Attention."
46,"It provides self-study tutorials with working code to guide you into building a fully-working transformer model that can
translate sentences from one language to another...

Let’s get started."
47,"This tutorial is divided into two parts; they are:

The working of an RNN;
Unfolding in time;
Backpropagation through time algorithm;
Different RNN architectures and variants."
48,"An Introduction to Recurrent Neural Networks and the Math That Powers Them
by Mehreen Saeed on January 6, 2023 in Attention 7
Tweet Tweet  Share
When it comes to sequential or time series data, traditional feedforward networks cannot be used for learning and prediction."
49,A mechanism is required to retain past or historical information to forecast future values.
50,"Recurrent neural networks, or RNNs for short, are a variant of the conventional feedforward artificial neural networks that can deal with sequential data and can be trained to hold knowledge about the past."
51,"After completing this tutorial, you will know:

Recurrent neural networks
What is meant by unfolding an RNN
How weights are updated in an RNN
Various RNN architectures
Kick-start your project with my book Building Transformer Models with Attention."
52,"It provides self-study tutorials with working code to guide you into building a fully-working transformer model that can
translate sentences from one language to another...

Let’s get started."
53,An introduction to recurrent neural networks and the math that powers Them.
54,"Photo by Mehreen Saeed, some rights reserved."
55,"Tutorial Overview
This tutorial is divided into two parts; they are:

The working of an RNN
Unfolding in time
Backpropagation through time algorithm
Different RNN architectures and variants


This tutorial assumes that you are already familiar with artificial neural networks and the backpropagation algorithm."
56,"If not, you can go through this very nice tutorial, Calculus in Action: Neural Networks, by Stefania Cristina."
57,The tutorial also explains how a gradient-based backpropagation algorithm is used to train a neural network.
58,What Is a Recurrent Neural Network?
59,A recurrent neural network (RNN) is a special type of artificial neural network adapted to work for time series data or data that involves sequences.
60,Ordinary feedforward neural networks are only meant for data points that are independent of each other.
61,"However, if we have data in a sequence such that one data point depends upon the previous data point, we need to modify the neural network to incorporate the dependencies between these data points."
62,RNNs have the concept of “memory” that helps them store the states or information of previous inputs to generate the next output of the sequence.
63,"Hence, in the feedforward pass of an RNN, the network computes the values of the hidden units and the output after 
 time steps."
64,The weights associated with the network are shared temporally.
65,Each recurrent layer has two sets of weights: one for the input and the second for the hidden unit.
66,"The last feedforward layer, which computes the final output for the kth time step, is just like an ordinary layer of a traditional feedforward network.What is deep learning?"
67,Deep learning is a type of machine learning and artificial intelligence (AI) that imitates the way humans gain certain types of knowledge.
68,"Deep learning models can be taught to perform classification tasks and recognize patterns in photos, text, audio and other various data."
69,"It is also used to automate tasks that would normally need human intelligence, such as describing images or transcribing audio files."
70,"Deep learning is an important element of data science, including statistics and predictive modeling."
71,"It is extremely beneficial to data scientists who are tasked with collecting, analyzing and interpreting large amounts of data; deep learning makes this process faster and easier."
72,"Where human brains have millions of interconnected neurons that work together to learn information, deep learning features neural networks constructed from multiple layers of software nodes that work together."
73,Deep learning models are trained using a large set of labeled data and neural network architectures.
74,Deep learning enables a computer to learn by example.
75,"To understand deep learning, imagine a toddler whose first word is dog."
76,The toddler learns what a dog is -- and is not -- by pointing to objects and saying the word dog.
77,"The parent says, ""Yes, that is a dog,"" or, ""No, that is not a dog."""
78,"As the toddler continues to point to objects, he becomes more aware of the features that all dogs possess."
79,"What the toddler is doing, without knowing it, is clarifying a complex abstraction: the concept of dog."
80,They are doing this by building a hierarchy in which each level of abstraction is created with knowledge that was gained from the preceding layer of the hierarchy.
81,Why is deep learning important?
82,Deep learning requires both a large amount of labeled data and computing power.
83,"If an organization can accommodate for both needs, deep learning can be used in areas such as digital assistants, fraud detection and facial recognition."
84,"Deep learning also has a high recognition accuracy, which is crucial for other potential applications where safety is a major factor, such as in autonomous cars or medical devices."
85,How deep learning works?
86,"Computer programs that use deep learning go through much the same process as a toddler learning to identify a dog, for example."
87,"Deep learning programs have multiple layers of interconnected nodes, with each layer building upon the last to refine and optimize predictions and classifications."
88,Deep learning performs nonlinear transformations to its input and uses what it learns to create a statistical model as output.
89,Iterations continue until the output has reached an acceptable level of accuracy.
90,The number of processing layers through which data must pass is what inspired the label deep.
91,"In traditional machine learning, the learning process is supervised, and the programmer must be extremely specific when telling the computer what types of things it should be looking for to decide if an image contains a dog or does not contain a dog."
92,"This is a laborious process called feature extraction, and the computer's success rate depends entirely upon the programmer's ability to accurately define a feature set for dog."
93,The advantage of deep learning is the program builds the feature set by itself without supervision.
94,"Initially, the computer program might be provided with training data -- a set of images for which a human has labeled each image dog or not dog with metatags."
95,The program uses the information it receives from the training data to create a feature set for dog and build a predictive model.
96,"In this case, the model the computer first creates might predict that anything in an image that has four legs and a tail should be labeled dog."
97,"Of course, the program is not aware of the labels four legs or tail."
98,It simply looks for patterns of pixels in the digital data.
99,"With each iteration, the predictive model becomes more complex and more accurate."
100,"Unlike the toddler, who takes weeks or even months to understand the concept of dog, a computer program that uses deep learning algorithms can be shown a training set and sort through millions of images, accurately identifying which images have dogs in them, within a few minutes."
101,"To achieve an acceptable level of accuracy, deep learning programs require access to immense amounts of training data and processing power, neither of which were easily available to programmers until the era of big data and cloud computing."
102,"Because deep learning programming can create complex statistical models directly from its own iterative output, it is able to create accurate predictive models from large quantities of unlabeled, unstructured data.Introduction to Deep Learning: Deep learning is a branch of machine learning which is based on artificial neural networks."
103,It is capable of learning complex patterns and relationships within data.
104,"In deep learning, we don’t need to explicitly program everything."
105,It has become increasingly popular in recent years due to the advances in processing power and the availability of large datasets.
106,Because it is based on artificial neural networks (ANNs) also known as deep neural networks (DNNs).
107,"These neural networks are inspired by the structure and function of the human brain’s biological neurons, and they are designed to learn from large amounts of data."
108,Deep Learning is a subfield of Machine Learning that involves the use of neural networks to model and solve complex problems.
109,Neural networks are modeled after the structure and function of the human brain and consist of layers of interconnected nodes that process and transform data.
110,"The key characteristic of Deep Learning is the use of deep neural networks, which have multiple layers of interconnected nodes."
111,These networks can learn complex representations of data by discovering hierarchical patterns and features in the data.
112,Deep Learning algorithms can automatically learn and improve from data without the need for manual feature engineering.
113,"Deep Learning has achieved significant success in various fields, including image recognition, natural language processing, speech recognition, and recommendation systems."
114,"Some of the popular Deep Learning architectures include Convolutional Neural Networks (CNNs), Recurrent Neural Networks (RNNs), and Deep Belief Networks (DBNs)."
115,Training deep neural networks typically requires a large amount of data and computational resources.
116,"However, the availability of cloud computing and the development of specialized hardware, such as Graphics Processing Units (GPUs), has made it easier to train deep neural networks."
117,"In summary, Deep Learning is a subfield of Machine Learning that involves the use of deep neural networks to model and solve complex problems."
118,"Deep Learning has achieved significant success in various fields, and its use is expected to continue to grow as more data becomes available, and more powerful computing resources become available."
119,What is Deep Learning?
120,Deep learning is the branch of machine learning which is based on artificial neural network architecture.
121,An artificial neural network or ANN uses layers of interconnected nodes called neurons that work together to process and learn from the input data.
122,"In a fully connected Deep neural network, there is an input layer and one or more hidden layers connected one after the other."
123,Each neuron receives input from the previous layer neurons or the input layer.
124,"The output of one neuron becomes the input to other neurons in the next layer of the network, and this process continues until the final layer produces the output of the network."
125,"The layers of the neural network transform the input data through a series of nonlinear transformations, allowing the network to learn complex representations of the input data."
126,"Today Deep learning has become one of the most popular and visible areas of machine learning, due to its success in a variety of applications, such as computer vision, natural language processing, and Reinforcement learning."
127,"Deep learning can be used for supervised, unsupervised as well as reinforcement machine learning."
128,it uses a variety of ways to process these.
129,Supervised Machine Learning: Supervised machine learning is the machine learning technique in which the neural network learns to make predictions or classify data based on the labeled datasets.
130,Here we input both input features along with the target variables.
131,"the neural network learns to make predictions based on the cost or error that comes from the difference between the predicted and the actual target, this process is known as backpropagation."
132,"Deep learning algorithms like Convolutional neural networks, Recurrent neural networks are used for many supervised tasks like image classifications and recognization, sentiment analysis, language translations, etc."
133,Unsupervised Machine Learning: Unsupervised machine learning is the machine learning technique in which the neural network learns to discover the patterns or to cluster the dataset based on unlabeled datasets.
134,Here there are no target variables.
135,while the machine has to self-determined the hidden patterns or relationships within the datasets.
136,"Deep learning algorithms like autoencoders and generative models are used for unsupervised tasks like clustering, dimensionality reduction, and anomaly detection."
137,Reinforcement  Machine Learning: Reinforcement  Machine Learning is the machine learning technique in which an agent learns to make decisions in an environment to maximize a reward signal.
138,The agent interacts with the environment by taking action and observing the resulting rewards.
139,"Deep learning can be used to learn policies, or a set of actions, that maximizes the cumulative reward over time."
140,Deep reinforcement learning algorithms like Deep Q networks and Deep Deterministic Policy Gradient (DDPG) are used to reinforce tasks like robotics and game playing etc.
141,What is Deep Learning?
142,Deep learning is a method in artificial intelligence (AI) that teaches computers to process data in a way that is inspired by the human brain.
143,"Deep learning models can recognize complex patterns in pictures, text, sounds, and other data to produce accurate insights and predictions."
144,"You can use deep learning methods to automate tasks that typically require human intelligence, such as describing images or transcribing a sound file into text."
145,Why is deep learning important?
146,Artificial intelligence (AI) attempts to train computers to think and learn as humans do.
147,"Deep learning technology drives many AI applications used in everyday products, such as the following:

Digital assistants
Voice-activated television remotes
Fraud detection
Automatic facial recognition
It is also a critical component of emerging technologies such as self-driving cars, virtual reality, and more."
148,Deep learning models are computer files that data scientists have trained to perform tasks using an algorithm or a predefined set of steps.
149,Businesses use deep learning models to analyze data and make predictions in various applications.
150,What are the uses of deep learning?
151,"Deep learning has several use cases in automotive, aerospace, manufacturing, electronics, medical research, and other fields."
152,"These are some examples of deep learning:

Self-driving cars use deep learning models to automatically detect road signs and pedestrians."
153,Defense systems use deep learning to automatically flag areas of interest in satellite images.
154,Medical image analysis uses deep learning to automatically detect cancer cells for medical diagnosis.
155,Factories use deep learning applications to automatically detect when people or objects are within an unsafe distance of machines.
156,"You can group these various use cases of deep learning into four broad categories—computer vision, speech recognition, natural language processing (NLP), and recommendation engines."
157,"Computer vision
Computer vision is the computer's ability to extract information and insights from images and videos."
158,Computers can use deep learning techniques to comprehend images in the same way that humans do.
159,"Computer vision has several applications, such as the following:

Content moderation to automatically remove unsafe or inappropriate content from image and video archives
Facial recognition to identify faces and recognize attributes like open eyes, glasses, and facial hair
Image classification to identify brand logos, clothing, safety gear, and other image details
Speech recognition
Deep learning models can analyze human speech despite varying speech patterns, pitch, tone, language, and accent."
160,"Virtual assistants such as Amazon Alexa and automatic transcription software use speech recognition to do the following tasks:

Assist call center agents and automatically classify calls."
161,Convert clinical conversations into documentation in real time.
162,Accurately subtitle videos and meeting recordings for a wider content reach.
163,"Natural language processing
Computers use deep learning algorithms to gather insights and meaning from text data and documents."
164,"This ability to process natural, human-created text has several use cases, including in these functions:

Automated virtual agents and chatbots
Automatic summarization of documents or news articles
Business intelligence analysis of long-form documents, such as emails and forms
Indexing of key phrases that indicate sentiment, such as positive and negative comments on social media
Recommendation engines
Applications can use deep learning methods to track user activity and develop personalized recommendations."
165,They can analyze the behavior of various users and help them discover new products or services.
166,"For example, many media and entertainment companies, such as Netflix, Fox, and Peacock, use deep learning to give personalized video recommendations."
167,How does deep learning work?
168,Deep learning algorithms are neural networks that are modeled after the human brain.
169,"For example, a human brain contains millions of interconnected neurons that work together to learn and process information."
170,"Similarly, deep learning neural networks, or artificial neural networks, are made of many layers of artificial neurons that work together inside the computer."
171,"Artificial neurons are software modules called nodes, which use mathematical calculations to process data."
172,Artificial neural networks are deep learning algorithms that use these nodes to solve complex problems.
173,What are the components of a deep learning network?
174,The components of a deep neural network are the following.
175,"Input layer
An artificial neural network has several nodes that input data into it."
176,These nodes make up the input layer of the system.
177,"Hidden layer
The input layer processes and passes the data to layers further in the neural network."
178,"These hidden layers process information at different levels, adapting their behavior as they receive new information."
179,Deep learning networks have hundreds of hidden layers that they can use to analyze a problem from several different angles.
180,"For example, if you were given an image of an unknown animal that you had to classify, you would compare it with animals you already know."
181,"For example, you would look at the shape of its eyes and ears, its size, the number of legs, and its fur pattern."
182,"You would try to identify patterns, such as the following:

The animal has hooves, so it could be a cow or deer."
183,"The animal has cat eyes, so it could be some type of wild cat."
184,The hidden layers in deep neural networks work in the same way.
185,"If a deep learning algorithm is trying to classify an animal image, each of its hidden layers processes a different feature of the animal and tries to accurately categorize it."
186,"Output layer
The output layer consists of the nodes that output the data."
187,"Deep learning models that output ""yes"" or ""no"" answers have only two nodes in the output layer."
188,"On the other hand, those that output a wider range of answers have more nodes."
189,What is deep learning in the context of machine learning?
190,Deep learning is a subset of machine learning.
191,Deep learning algorithms emerged in an attempt to make traditional machine learning techniques more efficient.
192,Traditional machine learning methods require significant human effort to train the software.
193,"For example, in animal image recognition, you need to do the following:

Manually label hundreds of thousands of animal images."
194,Make the machine learning algorithms process those images.
195,Test those algorithms on a set of unknown images.
196,Identify why some results are inaccurate.
197,Improve the dataset by labeling new images to improve result accuracy.
198,This process is called supervised learning.
199,"In supervised learning, result accuracy improves only when you have a broad and sufficiently varied dataset."
200,"For instance, the algorithm might accurately identify black cats but not white cats because the training dataset had more images of black cats."
201,"In that case, you would need to label more white cat images and train the machine learning models once again.1."
202,"Introduction to image processing
Image processing is a method to perform some operations on an image, in order to get an enhanced image or to extract some useful information from it."
203,It is a type of signal processing in which input is an image and output may be image or characteristics/features associated with that image.
204,"Nowadays, image processing is among rapidly growing technologies."
205,It forms core research area within engineering and computer science disciplines too.
206,"Image processing basically includes the following three steps:

Importing the image via image acquisition tools;
Analysing and manipulating the image;
Output in which result can be altered image or report that is based on image analysis."
207,"There are two types of methods used for image processing namely, analogue and digital image processing."
208,Analogue image processing can be used for the hard copies like printouts and photographs.
209,Image analysts use various fundamentals of interpretation while using these visual techniques.
210,Digital image processing techniques help in manipulation of the digital images by using computers.
211,"The three general phases that all types of data have to undergo while using digital technique are pre-processing, enhancement, and display, information extraction."
212,"In this lecture we will talk about a few fundamental definitions such as image, digital image, and digital image processing."
213,Different sources of digital images will be discussed and examples for each source will be provided.
214,The continuum from image processing to computer vision will be covered in this lecture.
215,Finally we will talk about image acquisition and different types of image sensors.
216,2.
217,"Sampling and quantization
In order to become suitable for digital processing, an image function f(x,y) must be digitized both spatially and in amplitude."
218,"Typically, a frame grabber or digitizer is used to sample and quantize the analogue video signal."
219,"Hence in order to create an image which is digital, we need to covert continuous data into digital form."
220,"There are two steps in which it is done:

Sampling
Quantization
The sampling rate determines the spatial resolution of the digitized image, while the quantization level determines the number of grey levels in the digitized image."
221,A magnitude of the sampled image is expressed as a digital value in image processing.
222,The transition between continuous values of the image function and its digital equivalent is called quantization.
223,The number of quantization levels should be high enough for human perception of fine shading details in the image.
224,The occurrence of false contours is the main problem in image which has been quantized with insufficient brightness levels.
225,In this lecture we will talk about two key stages in digital image processing.
226,Sampling and quantization will be defined properly.
227,Spatial and grey-level resolutions will be introduced and examples will be provided.
228,"An introduction on implementing the shown examples in MATLAB will be also given in this lecture.Digital Image Processing Basics:
Digital Image Processing means processing digital image by means of a digital computer."
229,"We can also say that it is a use of computer algorithms, in order to get enhanced image either to extract some useful information."
230,Digital image processing is the use of algorithms and mathematical models to process and analyze digital images.
231,"The goal of digital image processing is to enhance the quality of images, extract meaningful information from images, and automate image-based tasks."
232,"The basic steps involved in digital image processing are:
Image acquisition: This involves capturing an image using a digital camera or scanner, or importing an existing image into a computer."
233,"Image enhancement: This involves improving the visual quality of an image, such as increasing contrast, reducing noise, and removing artifacts."
234,"Image restoration: This involves removing degradation from an image, such as blurring, noise, and distortion."
235,"Image segmentation: This involves dividing an image into regions or segments, each of which corresponds to a specific object or feature in the image."
236,"Image representation and description: This involves representing an image in a way that can be analyzed and manipulated by a computer, and describing the features of an image in a compact and meaningful way."
237,"Image analysis: This involves using algorithms and mathematical models to extract information from an image, such as recognizing objects, detecting patterns, and quantifying features."
238,Image synthesis and compression: This involves generating new images or compressing existing images to reduce storage and transmission requirements.
239,"Digital image processing is widely used in a variety of applications, including medical imaging, remote sensing, computer vision, and multimedia."
240,"Image processing mainly include the following steps:
1.Importing the image via image acquisition tools; 
2.Analysing and manipulating the image; 
3.Output in which result can be altered image or a report which is based on analysing that image."
241,What is an image?
242,"An image is defined as a two-dimensional function,F(x,y), where x and y are spatial coordinates, and the amplitude of F at any pair of coordinates (x,y) is called the intensity of that image at that point."
243,"When x,y, and amplitude values of F are finite, we call it a digital image."
244,"In other words, an image can be defined by a two-dimensional array specifically arranged in rows and columns."
245,"Digital Image is composed of a finite number of elements, each of which elements have a particular value at a particular location.These elements are referred to as picture elements,image elements,and pixels.A Pixel is most widely used to denote the elements of a Digital Image."
246,"Types of an image
BINARY IMAGE– The binary image as its name suggests, contain only two pixel elements i.e 0 & 1,where 0 refers to black and 1 refers to white."
247,This image is also known as Monochrome.
248,BLACK AND WHITE IMAGE– The image which consist of only black and white color is called BLACK AND WHITE IMAGE.
249,8 bit COLOR FORMAT– It is the most famous image format.It has 256 different shades of colors in it and commonly known as Grayscale Image.
250,"In this format, 0 stands for Black, and 255 stands for white, and 127 stands for gray."
251,16 bit COLOR FORMAT– It is a color image format.
252,"It has 65,536 different colors in it.It is also known as High Color Format."
253,In this format the distribution of color is not as same as Grayscale image.
254,"A 16 bit format is actually divided into three further formats which are Red, Green and Blue."
255,That famous RGB format.
256,"PHASES OF IMAGE PROCESSING:
1.ACQUISITION– It could be as simple as being given an image which is in digital form."
257,"The main work involves: 
a) Scaling 
b) Color conversion(RGB to Gray or vice-versa) 
2.IMAGE ENHANCEMENT– It is amongst the simplest and most appealing in areas of Image Processing it is also used to extract some hidden details from an image and is subjective."
258,3.IMAGE RESTORATION– It also deals with appealing of an image but it is objective(Restoration is based on mathematical or probabilistic model or image degradation).
259,4.COLOR IMAGE PROCESSING– It deals with pseudocolor and full color image processing color models are applicable to digital image processing.
260,5.WAVELETS AND MULTI-RESOLUTION PROCESSING– It is foundation of representing images in various degrees.
261,6.IMAGE COMPRESSION-It involves in developing some functions to perform this operation.
262,It mainly deals with image size or resolution.
263,7.MORPHOLOGICAL PROCESSING-It deals with tools for extracting image components that are useful in the representation & description of shape.
264,8.SEGMENTATION PROCEDURE-It includes partitioning an image into its constituent parts or objects.
265,Autonomous segmentation is the most difficult task in Image Processing.
266,"9.REPRESENTATION & DESCRIPTION-It follows output of segmentation stage, choosing a representation is only the part of solution for transforming raw data into processed data."
267,10.OBJECT DETECTION AND RECOGNITION-It is a process that assigns a label to an object based on its descriptor.
268,"Advantages of Digital Image Processing:
Improved image quality: Digital image processing algorithms can improve the visual quality of images, making them clearer, sharper, and more informative."
269,"Automated image-based tasks: Digital image processing can automate many image-based tasks, such as object recognition, pattern detection, and measurement."
270,"Increased efficiency: Digital image processing algorithms can process images much faster than humans, making it possible to analyze large amounts of data in a short amount of time."
271,"Increased accuracy: Digital image processing algorithms can provide more accurate results than humans, especially for tasks that require precise measurements or quantitative analysis.Images define the world, each image has its own story, it contains a lot of crucial information that can be useful in many ways."
272,This information can be obtained with the help of the technique known as Image Processing.
273,"It is the core part of computer vision which plays a crucial role in many real-world examples like robotics, self-driving cars, and object detection."
274,Image processing allows us to transform and manipulate thousands of images at a time and extract useful insights from them.
275,It has a wide range of applications in almost every field.
276,Python is one of the widely used programming languages for this purpose.
277,Its amazing libraries and tools help in achieving the task of image processing very efficiently.
278,"This article will teach you about classical algorithms, techniques, and tools to process the image and get the desired output."
279,Let’s get into it!
280,What is image processing?
281,"As the name says, image processing means processing the image and this may include many different techniques until we reach our goal."
282,The final output can be either in the form of an image or a corresponding feature of that image.
283,This can be used for further analysis and decision making.
284,But what is an image?
285,"An image can be represented as a 2D function F(x,y) where x and y are spatial coordinates."
286,"The amplitude of F at a particular value of x,y is known as the intensity of an image at that point."
287,"If x,y, and the amplitude value is finite then we call it a digital image."
288,It is an array of pixels arranged in columns and rows.
289,Pixels are the elements of an image that contain information about intensity and color.
290,"An image can also be represented in 3D where x,y, and z become spatial coordinates."
291,Pixels are arranged in the form of a matrix.
292,This is known as an RGB image.
293,Digital image processing consists of the manipulation of images using digital computers.
294,Its use has been increasing exponentially in the last decades.
295,"Its applications range from medicine to entertainment, passing by geological processing and remote sensing."
296,"Multimedia systems, one of the pillars of the modern information society, rely heavily on digital image processing."
297,"The discipline of digital image processing is a vast one, encompassing digital signal processing techniques as well as techniques that are specific to images."
298,"An image can be regarded as a function f (x, y) of two continuous variables x and y."
299,"To be processed digitally, it has to be sampled and transformed into a matrix of numbers."
300,"Since a computer represents the numbers using finite precision, these numbers have to be quantized to be represented digitally."
301,Digital image processing consists of the manipulation of those finite precision numbers.
302,"The processing of digital images can be divided into several classes: image enhancement, image restoration, image analysis, and image compression."
303,"In image enhancement, an image is manipulated, mostly by heuristic techniques, so that a human viewer can extract useful information from it."
304,Image restoration techniques aim at processing corrupted images from which there is a statistical or mathematical description of the degradation so that it can be reverted.
305,Image analysis techniques permit that an image be processed so that information can be automatically extracted from it.
306,"Examples of image analysis are image segmentation, edge extraction, and texture and motion analysis."
307,An important characteristic of images is the huge amount of information required to represent them.
308,"Even a gray-scale image of moderate resolution, say 512 × 512, needs 512 × 512 × 8 ?"
309,2 × 106 bits for its representation.
310,"Therefore, to be practical to store and transmit digital images, one needs to perform some sort of image compression, whereby the redundancy of the images is exploited for reducing the number of bits needed in their representation."
311,"In what follows, we provide a brief description of digital image processing techniques."
312,"Section 4.1 deals with image sampling, and Section 4.2 describes image quantization."
313,"In Section 4.3, some image enhancement techniques are given."
314,Section 4.4 analyzes image restoration.
315,"Image compression, or coding, is presented in Section 4.5."
316,"Finally, Section 4.6 introduces the main issues involved in image analysis."
317,This chapter deals with the manipulation and analysis of images by computer.
318,"In image processing, both the input and the output are images, the output being, for example, an approximated or improved version of the input."
319,"In image analysis (also known by such names as pictorial pattern recognition, image understanding, and computer vision), the input is an image and the output is (typically) a description of the scene that gave rise to the image."
320,"Computer graphics, which is not covered in this chapter, is the inverse of image analysis: The input is a scene description, and the output is an image of the scene as it would appear from a given viewpoint."
321,"An image is defined by specifying how its value (brightness, color, etc.)"
322,"varies from point to point—in other words, by a function of two variables defined over an “image plane.” Before an image can be processed and analyzed by (digital) computer, it must be converted into a discrete array of numbers each of which represents the value at a given point."
323,This process of conversion is called digitization (Section II).
324,A digitized image can be viewed as a matrix of gray-level values.
325,"To understand/analyze the structure of this matrix, image models and image transforms have been used."
326,"Image models attempt to describe the image data quantatively, while image transforms enable the analysis of the image data in the transform domain for various applications such as compression, restoration, and filtering.Image models and representations are discussed in Section III."
327,"To represent the input image with sufficient accuracy, the array of numbers must usually be quite large—for example, about 500 × 500 in the case of a television image."
328,Image compression (or coding) deals with methods of reducing this large quantity of data without sacrificing important information about the image (Section IV).
329,"One of the central goals of image processing is to improve the appearance of the image—for example, by increasing contrast, reducing blur, or removing noise."
330,Image enhancement (Section V) deals with methods of improving the appearance of an image.
331,"More specifically, image restoration (Section VI) is concerned with estimating image degradations and attempting to correct them."
332,Another important branch of image processing is image reconstruction from projections (Section VII).
333,"Here we are given a set of images (e.g., X rays) representing projections of a given volume, and the task is to compute and display images representing cross sections of that volume."
334,Comparison or matching of images is an important tool in both image processing and analysis.
335,Section VIII discusses image matching and registration and depth measurement by comparison of images taken from different positions (stereomapping).
336,Section IX summarizes methods for the analysis of image sequences.
337,"Techniques for motion compensation, detection and tracking of moving objects, and recovery of scene structure from motion using optic flow and discrete features are discussed."
338,"The brightness of an image at a point depends on many factors, including the illumination, reflectivity, and surface orientation of the corresponding surface point in the scene."
339,"Section X discusses methods of recovering these “intrinsic” scene characteristics from an image by analyzing shading, texture, or shapes in the image."
340,"Image analysis usually begins with feature detection or segmentation—the extraction of parts of an image, such as edges, curves, or regions, that are relevant to its description."
341,Techniques for singling out significant parts of an image are reviewed in Section XI.
342,"Methods of compactly representing image parts for computer manipulation, as well as methods of decomposing image parts based on geometric criteria and of computing geometric properties of image parts, are treated in Section XII."
343,"Section XIII deals with image description, with an emphasis on the problem of recognizing objects in an image."
344,"It reviews properties and relations, relational structures, models, and knowledge-based image analysis."
345,A chapter such as this would not be complete without some discussion of architectures designed for efficient processing of images.
346,The eighties witnessed an explosion of parallel algorithms and architectures for image processing and analysis; especially noteworthy were hypercube-connected machines.
